benchmark	Type	Orig	Prop	Class	logs-avg.Storm.vi-topo	logs-avg.Storm.ovi-topo	logs-avg.Storm.vi2pi-topo-gmres	logs-avg.Storm.vi2lp-topo-gurobi	logs-avg.mcsta.vi	logs-avg.mcsta.ovi	logs-run1.Storm.vi-topo	logs-run1.Storm.ovi-topo	logs-run1.Storm.vi2pi-topo-gmres	logs-run1.Storm.vi2lp-topo-gurobi	logs-run1.mcsta.vi	logs-run1.mcsta.ovi	logs-run2.Storm.vi-topo	logs-run2.Storm.ovi-topo	logs-run2.Storm.vi2pi-topo-gmres	logs-run2.Storm.vi2lp-topo-gurobi	logs-run2.mcsta.vi	logs-run2.mcsta.ovi	logs-run3.Storm.vi-topo	logs-run3.Storm.ovi-topo	logs-run3.Storm.vi2pi-topo-gmres	logs-run3.Storm.vi2lp-topo-gurobi	logs-run3.mcsta.vi	logs-run3.mcsta.ovi	logs-run4.Storm.vi-topo	logs-run4.Storm.ovi-topo	logs-run4.Storm.vi2pi-topo-gmres	logs-run4.Storm.vi2lp-topo-gurobi	logs-run4.mcsta.vi	logs-run4.mcsta.ovi	logs-run5.Storm.vi-topo	logs-run5.Storm.ovi-topo	logs-run5.Storm.vi2pi-topo-gmres	logs-run5.Storm.vi2lp-topo-gurobi	logs-run5.mcsta.vi	logs-run5.mcsta.ovi	best
consensus-mec.4-2.disagree	mdp	prism	P	mdpmec	1	6.8834	6.8006	7.554399999999999	1.22	4.82	1	6.907	6.822	7.144	1.2	4.7	1	6.896	6.784	7.578	1.2	4.9	1	6.828	6.8	7.677	1.2	5.0	1	6.901	6.772	7.678	1.2	4.8	1	6.885	6.825	7.695	1.3	4.7	1
consensus-mec.4-6.disagree	mdp	prism	P	mdpmec	7.635599999999999	68.69	229.43	63.1798	24.619999999999997	724	7.627	68.219	230.005	54.713	25.8	724	8.137	68.499	229.713	64.767	25.6	724	7.29	69.114	229.557	64.339	24.0	724	7.327	69.857	230.377	65.827	23.9	724	7.797	67.761	227.498	66.253	23.8	724	7.29
consensus.4-4.c2	mdp	prism	P	mdpqvbs	1	1	6.2856	1	1	1	1	1	6.281	1	1	1	1	1	6.277	1	1	1	1	1	6.271	1	1	1	1	1	6.313	1	1	1	1	1	6.286	1	1	1	1
consensus.4-4.disagree	mdp	prism	P	mdpqvbs	1	1	27.240199999999998	1	1	1	1	1	27.046	1	1	1	1	1	28.186	1	1	1	1	1	28.198	1	1	1	1	1	26.39	1	1	1	1	1	26.381	1	1	1	1
consensus.6-2.c2	mdp	prism	P	mdpqvbs	1.7693999999999999	3.3572	3.3274	5.9604	12.76	10.0	1.861	2.931	2.841	6.018	12.9	10.0	1.707	3.425	2.991	7.063	12.7	10.0	1.955	3.582	3.303	6.335	12.7	10.8	1.639	3.25	3.879	5.335	12.7	9.6	1.685	3.598	3.623	5.051	12.8	9.6	1.639
consensus.6-2.disagree	mdp	prism	P	mdpqvbs	5.8418	7.286	43.3042	11.8126	15.080000000000002	12.760000000000002	5.794	7.175	39.597	11.638	16.0	12.8	5.992	7.27	44.851	11.753	15.0	12.8	5.945	7.37	44.855	11.94	14.8	12.8	5.77	7.278	44.814	11.81	14.8	12.6	5.708	7.337	42.404	11.922	14.8	12.8	5.708
consensus.6-2.steps_max	mdp	prism	E	mdpqvbs	6.3788	11.1836	126.40360000000001	101.9734	21.02	33.88	6.552	11.386	126.13	96.155	21.9	33.3	6.272	10.97	126.412	107.748	20.7	33.6	6.316	10.352	125.744	107.445	20.7	34.0	6.446	11.486	126.72	107.4	21.0	33.9	6.308	11.724	127.012	91.119	20.8	34.6	6.272
consensus.6-2.steps_min	mdp	prism	E	mdpqvbs	5.0094	8.4764	13.283600000000002	133.72179999999997	12.78	18.7	5.043	7.909	13.024	137.307	12.6	18.1	5.058	8.431	13.167	136.62	12.6	18.8	4.919	8.741	13.365	136.379	12.9	19.5	5.009	8.756	13.468	129.061	12.8	19.3	5.018	8.545	13.394	129.242	13.0	17.8	4.919
csma.3-4.time_max	mdp	prism	E	mdpqvbs	1	1	724	1	1	1.3	1	1	724	1	1	1.3	1	1	724	1	1	1.3	1	1	724	1	1	1.3	1	1	724	1	1	1.3	1	1	724	1	1	1.3	1
csma.3-4.time_min	mdp	prism	E	mdpqvbs	1.3264	1	724	1.3422	1	1.1	1.395	1	724	1.282	1	1.1	1.353	1	724	1.396	1	1.1	1.346	1	724	1.294	1	1.1	1.342	1	724	1.322	1	1.1	1.196	1	724	1.417	1	1.1	1
csma.4-2.time_min	mdp	prism	E	mdpqvbs	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1
dpm.4-6-100.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	33.017	1	1	1	1	1	30.929	1	1	1	1	1	34.125	1	1	1	1	1	33.921	1	1	1	1	1	33.922	1	1	1	1	1	32.188	1	1	1
dpm.4-6-25.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	34.748200000000004	1	1	1	1	1	36.147	1	1	1	1	1	35.144	1	1	1	1	1	33.462	1	1	1	1	1	34.529	1	1	1	1	1	34.459	1	1	1
dpm.4-6-50.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	32.931	1	1	1	1	1	31.027	1	1	1	1	1	34.096	1	1	1	1	1	34.025	1	1	1	1	1	34.326	1	1	1	1	1	31.181	1	1	1
dpm.6-8-5.PminQueue1Full	ma	modest	P	maqvbs	23.0774	25.8	97.1558	724	8.5	6.36	21.903	26.223	97.315	724	8.4	5.8	23.357	25.909	91.604	724	8.4	6.4	23.394	26.148	98.962	724	8.6	6.4	23.317	25.399	98.741	724	8.6	6.6	23.416	25.321	99.157	724	8.5	6.6	5.8
