benchmark	Type	Orig	Prop	Class	logs.Storm.vi-topo	logs.Storm.vi-topo-mecq	logs.Storm.ovi-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.pi-mono-gmres-topo	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-soplex-exact	logs.mcsta.ii	logs.mcsta.vi-es	best
readers-writers.35.pr_network	ma	greatspn	P	maqvbs	3.587	3.776	4.3	724	5.742	724	5.84	12.683	724	5.4	2.1	2.1
readers-writers.40.exp_time_many_requests	ma	greatspn	E	maqvbs	4.773	2.531	3.515	724	6.472	724	6.776	724	724	27.8	2.0	2.0
readers-writers.40.pr_network	ma	greatspn	P	maqvbs	7.07	6.672	8.102	724	10.427	724	11.067	14.959	724	5.3	2.2	2.2
refuel-mdp.120-60.reach_max	mdp	prism	P	mdpgridmec	724	724	724	724	724	83.193	724	724	724	724	724	83.193
refuel-mdp.180-90.reach_max	mdp	prism	P	mdpgridmec	206.22	102.209	724	724	724	724	149.526	724	724	724	512	102.209
refuel-mdp.220-110.reach_max	mdp	prism	P	mdpgridmec	422.802	312.698	724	724	724	724	380.96	724	724	724	724	312.698
refuel-mdp.50-25.reach_max	mdp	prism	P	mdpgridmec	724	724	31.764	724	724	3.436	3.155	8.539	23.845	724	724	3.155
refuel-mdp.80-40.reach_max	mdp	prism	P	mdpgridmec	724	724	724	724	724	20.978	724	724	724	724	724	20.978
resource-gathering.1300-100-100.expsteps	mdp	prism	E	mdpqvbs	6.031	8.258	6.629	17.993	724	12.539	6.911	12.515	156.678	15.6	7.0	6.031
sensor.4.max_success	mdp	prism	P	mdpmec	2.999	78.495	83.849	98.455	1.589	102.658	78.359	78.613	99.459	1	1	1
sensor.5.max_success	mdp	prism	P	mdpmec	93.394	724	724	724	27.278	724	724	724	724	1	1	1
stream.1000.exp_buffertime	ma	prism-ma	E	maqvbs	1.155	1	1	7.293	1.218	7.309	1	1.443	20.255	11.8	1.9	1
stream.1000.exp_restarts	ma	prism-ma	E	maqvbs	1	1	1	7.432	1.014	8.071	1	1	6.763	14.3	2.0	1
wlan-large.2.E_1	pta	modest	E	ptaqvbs	3.097	1.727	2.149	87.599	4.148	10.266	3.545	7.71	512	68.9	1.3	1.3
wlan-large.2.E_and	pta	modest	E	ptaqvbs	1.989	1.774	1.839	20.565	3.027	8.985	2.527	4.843	512	84.3	1.3	1.3
wlan-large.2.E_or	pta	modest	E	ptaqvbs	2.153	2.108	2.369	21.768	3.239	10.565	3.583	6.313	724	37.3	1	1
wlan-mec.3-0.cost_min	mdp	prism	E	mdpmec	55.954	229.302	264.494	268.976	724	268.194	266.697	274.916	289.8	724	724	55.954
wlan-mec.3-0.time_min	mdp	prism	E	mdpmec	68.004	229.824	229.164	232.51	724	267.374	275.538	275.388	285.787	724	724	68.004
wlan-mec.4-0.cost_min	mdp	prism	E	mdpmec	724	724	724	724	724	724	724	724	724	724	6.8	6.8
wlan-mec.4-0.time_min	mdp	prism	E	mdpmec	512	724	724	724	724	724	724	724	724	724	7.0	7.0
wlan-mec.5-0.cost_min	mdp	prism	E	mdpmec	724	724	724	724	724	724	724	724	724	724	51.9	51.9
wlan-mec.5-0.time_min	mdp	prism	E	mdpmec	724	724	724	724	724	724	724	724	724	724	51.2	51.2
wlan.4-0.cost_max	mdp	prism	E	mdpqvbs	1	1	1	23.191	1	1	1	1	3.965	3.8	1	1
wlan.4-0.cost_min	mdp	prism	E	mdpqvbs	1	1	1	1.31	1	1	1	1	3.58	1.4	1	1
wlan.4-0.num_collisions	mdp	prism	E	mdpqvbs	1	1	1	1.844	1.23	1	1	1	4.801	2.4	1	1
wlan.4-0.time_max	mdp	prism	E	mdpqvbs	1	1	1	24.46	2.742	1	1	1	3.986	3.4	1	1
wlan.4-0.time_min	mdp	prism	E	mdpqvbs	1	1	1	1.349	1	1	1	1	4.411	1.4	1	1
wlan.5-0.cost_max	mdp	prism	E	mdpqvbs	1	1	1	148.947	4.259	3.326	1.753	1	16.138	30.9	2.4	1
wlan.5-0.cost_min	mdp	prism	E	mdpqvbs	1.144	1	1	4.797	2.606	3.575	1.33	1.366	16.384	11.2	3.0	1
wlan.5-0.num_collisions	mdp	prism	E	mdpqvbs	1	1	1	5.145	3.653	2.767	1.752	1	18.095	21.5	2.7	1
wlan.5-0.time_max	mdp	prism	E	mdpqvbs	1	1	1	73.08	5.468	3.387	1.541	1	19.547	25.6	2.4	1
wlan.5-0.time_min	mdp	prism	E	mdpqvbs	1.201	1	1	6.557	2.214	3.503	1.081	1.472	17.162	11.3	2.9	1
wlan.6-0.cost_max	mdp	prism	E	mdpqvbs	3.084	2.954	3.609	724	25.919	17.466	8.678	3.834	75.807	315.8	22.8	2.954
wlan.6-0.cost_min	mdp	prism	E	mdpqvbs	6.499	2.907	3.175	19.732	10.458	15.758	4.873	7.256	75.709	89.6	25.1	2.907
wlan.6-0.num_collisions	mdp	prism	E	mdpqvbs	3.007	2.885	3.556	21.267	51.227	13.572	8.766	3.364	128.078	142.4	23.1	2.885
wlan.6-0.time_max	mdp	prism	E	mdpqvbs	2.705	2.573	3.116	724	32.093	15.008	6.313	3.387	65.871	228.2	19.4	2.573
wlan.6-0.time_min	mdp	prism	E	mdpqvbs	7.947	2.996	3.48	24.82	9.258	19.96	5.066	7.886	86.308	93.0	25.3	2.996
