benchmark	Type	Orig	Prop	Class	logs.Storm.vi-mono	logs.Storm.vi-mono-mecq	logs.Storm.vi-topo	logs.Storm.vi-topo-mecq	logs.Storm.ovi-mono	logs.Storm.ovi-topo	logs.Storm.svi-mono	logs.Storm.svi-topo	logs.Storm.ii-mono	logs.Storm.ii-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.rs-mono-mecq-exact	logs.Storm.pi-mono-gmres	logs.Storm.pi-mono-gmres-diagprecond	logs.Storm.pi-mono-gmres-noprecond	logs.Storm.pi-mono-gmres-bicgstab	logs.Storm.pi-mono-gmres-qmr	logs.Storm.pi-mono-gmres-topo	logs.Storm.pi-topo-gmres	logs.Storm.pi-topo-gmres-mono	logs.Storm.pi-mono-exactlu	logs.Storm.pi-mono-exactlu-topo	logs.Storm.pi-topo-exactlu	logs.Storm.pi-topo-exactlu-mono	logs.Storm.pi-mono-lu	logs.Storm.pi-topo-lu	logs.Storm.pi-mono-ovi	logs.Storm.pi-topo-ovi	logs.Storm.pi-mono-vi	logs.Storm.pi-topo-vi	logs.Storm.vi2pi-mono-gmres	logs.Storm.vi2pi-mono-exactlu	logs.Storm.vi2pi-topo-gmres	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2pi-topo-exactlu-mono	logs.Storm.vi2pi-mono-exactlu-topo	logs.Storm.lp-mono-gurobi	logs.Storm.lp-mono-gurobi-4auto	logs.Storm.lp-mono-gurobi-4barrier	logs.Storm.lp-mono-gurobi-4dualsimpl	logs.Storm.lp-mono-gurobi-4primalsimpl	logs.Storm.lp-gurobi-8auto	logs.Storm.lp-gurobi-16auto	logs.Storm.lp-gurobi95-1auto	logs.Storm.lp-gurobi95-4auto	logs.Storm.lp-gurobi95-8auto	logs.Storm.lp-gurobi95-16auto	logs.Storm.lp-mono-gurobi-4autoeq	logs.Storm.lp-mono-gurobi-4autoinit	logs.Storm.lp-mono-gurobi-4autobnds	logs.Storm.lp-mono-gurobi-4autoinitbnds	logs.Storm.lp-topo-gurobi-4auto	logs.Storm.lp-topo-gurobi-4autoeq	logs.Storm.lp-topo-gurobi-4autoinit	logs.Storm.lp-topo-gurobi-4autobnds	logs.Storm.lp-topo-gurobi-4autoinitbnds	logs.Storm.lp-topo-gurobi	logs.Storm.lp-topo-mecq-gurobi	logs.Storm.lp-topo-mecq-gurobi-4auto	logs.Storm.lp-mono-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-gurobi	logs.Storm.vi2lp-mono-gurobi	logs.Storm.vi2lp-topo-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-mono-gurobi-4auto	logs.Storm.vi2lp-mono-mecq-gurobi-4auto	logs.Storm.lp-mono-soplex-exact	logs.Storm.lp-mono-soplex	logs.Storm.lp-mono-glpk	logs.Storm.lp-mono-z3-exact	logs.Storm.vi2lp-mono-soplex-exact	logs.Storm.lp-topo-soplex-exact	logs.Storm.lp-topo-soplex	logs.Storm.lp-topo-glpk	logs.Storm.lp-topo-z3-exact	logs.Storm.vi2lp-topo-soplex-exact	logs.Storm.vi2lp-topo-mecq-soplex-exact	logs.Storm.vi-mono-bisim-sylvan1	logs.Storm.vi2pi-topo-exactlu-bisim-sylvan1	logs.Storm.vi-mono-bfs	logs.Storm.vi-mono-reversebfs	logs.Storm.vi-mono-rnd	logs.Storm.pi-mono-bfs	logs.Storm.pi-mono-reversebfs	logs.Storm.pi-mono-rnd	logs.Storm.lp-mono-bfs	logs.Storm.lp-mono-reversebfs	logs.Storm.lp-mono-rnd	logs.mcsta.vi	logs.mcsta.ovi	logs.mcsta.svi	logs.mcsta.ii	logs.mcsta.lp-copt-mono	logs.mcsta.lp-copt-topo	logs.mcsta.lp-cplex-mono	logs.mcsta.lp-cplex-topo	logs.mcsta.lp-glop-mono	logs.mcsta.lp-glop-topo	logs.mcsta.lp-gurobi-mono	logs.mcsta.lp-gurobi-topo	logs.mcsta.lp-highs-mono	logs.mcsta.lp-highs-topo	logs.mcsta.lp-lpsolve-mono	logs.mcsta.lp-lpsolve-topo	logs.mcsta.lp-mosek-mono	logs.mcsta.lp-mosek-topo	logs.mcsta.vi-p0	logs.mcsta.vi-p1	logs.mcsta.vi-p01	logs.mcsta.vi-es	logs.mcsta.vi-es-p01	logs.mcsta.vi-mecq	logs.mcsta.ovi-mecq	best
bigmec.100000.prob_max	mdp	prism	P	mdpmec	45.786	1	43.626	1	1	1	1	1	1	1	1	1	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	512	724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54.904	54.89	44.418	1	43.938	1	724	724	724	724	161.308	724	724	724	724	227.022	1	724	724	53.646	93.955	114.54479999999998	724	1	1	1	1	1	135.0	102.1	1	1	1	1	1	1	1.1	1.8	1	1	48.6	44.5	724	724	1	1	131.4	125.5	132.2	125.3	131.4	1	1	1
brp-pta.64-12-32-256.Emin	pta	modest	E	ptaqvbs	76.881	24.435	105.722	29.714	24.524	32.531	68.245	72.484	72.219	65.924	724	724	724	724	724	724	724	87.16	49.875	44.101	724	724	724	724	724	47.081	65.529	60.681	58.064	53.368	724	724	26.689	724	91.515	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	25.258	28.243	28.924	72.552	63.788	30.267	30.596	28.409	724	66.909	724	65.53	79.732	724	724	724	724	724	724	724	724	34.71	24.328	724	724	724	724	724	51.891	275.831	512	100.015	30.813	189.3028	724	724	724	26.2	22.7	38.3	247.6	724	21.5	724	17.8	724	37.0	724	37.2	724	29.1	724	38.7	724	36.6	35.7	32.8	35.9	8.5	8.9	724	724	8.5
brp-pta.64-12-32-256.P_1	pta	modest	P	ptaqvbs	135.277	136.138	214.046	155.714	159.399	186.713	152.169	184.112	162.767	150.457	724	724	150.55	512	512	146.28	724	153.619	150.398	193.829	724	724	724	724	724	155.355	158.605	147.613	148.701	145.668	143.902	724	150.133	724	143.226	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	143.807	162.306	142.88	140.226	150.641	149.251	166.026	146.452	724	141.731	724	142.85	158.771	724	724	724	724	724	724	724	724	157.564	159.58	724	724	724	724	724	136.556	255.711	512	165.778	120.775	512	724	724	724	3.1	24.8	39.3	30.4	724	4.9	724	4.9	724	5.0	724	5.1	724	5.0	724	5.0	724	5.0	3.3	33.7	38.1	1.6	34.1	7.8	26.0	1.6
brp-pta.64-12-32-256.P_3	pta	modest	P	ptaqvbs	106.681	105.064	137.543	112.299	147.822	145.428	130.395	140.392	150.832	111.489	724	724	126.619	512	724	122.11	724	119.35	118.338	165.373	724	724	724	724	724	124.505	128.852	180.277	117.348	152.086	111.167	724	120.608	724	137.073	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	724	108.923	109.801	109.906	108.599	133.002	121.323	110.472	110.704	724	109.45	724	143.552	121.905	724	724	724	724	724	724	724	724	148.543	117.943	724	724	724	724	724	104.368	235.187	512	127.495	89.44	512	724	724	724	3.8	21.9	31.7	27.0	724	6.4	724	6.3	724	6.3	724	6.3	724	6.3	724	5.9	724	7.9	4.4	41.3	36.6	2.4	35.2	10.9	27.8	2.4
consensus-mec.4-2.disagree	mdp	prism	P	mdpmec	1	7.142	1	6.958	7.907	7.085	8.646	8.47	8.413	8.363	22.896	200.376	116.009	264.037	267.774	724	724	724	724	52.376	89.517	36.837	14.645	39.996	724	724	724	724	88.009	43.872	16.16	9.261	7.507	8.37	8.164	8.313	8.245	724	118.125	106.155	23.766	724	26.076	23.172	16.139	19.205	20.739	20.3	105.173	470.815	124.966	512	8.835	9.168	7.719	9.282	6.862	28.859	8.688	7.544	9.033	8.954	2.286	8.89	7.646	2.363	8.005	724	724	724	724	724	486.218	724	724	724	203.374	114.577	1.019	1.098	1	1.672	3.1764	724	453.97	724	114.577	72.4	83.257	1.2	4.5	724	724	18.8	724	233.7	24.2	278.4	28.2	512	62.0	476.1	33.3	724	312.9	724	190.2	1.2	1.2	1.2	1.3	1	1	1	1
consensus-mec.4-6.disagree	mdp	prism	P	mdpmec	13.322	77.233	8.658	66.662	102.622	76.217	95.483	80.966	91.913	78.162	724	724	724	724	724	724	724	724	724	724	724	512	223.179	512	724	724	724	724	724	724	367.301	136.187	235.147	79.65	103.386	109.627	149.835	106.474	129.456	724	130.624	724	122.276	121.077	45.024	49.049	52.11	52.216	131.122	724	154.067	724	724	724	724	724	724	724	67.955	64.457	66.398	63.688	724	62.697	71.109	724	85.388	724	724	724	724	724	724	724	724	724	724	462.278	3.5330000000000004	4.579	15.434	61.168	73.02860000000001	724	724	724	143.273	512	512	24.2	724	724	724	50.5	724	724	724	724	271.1	724	271.3	724	471.0	724	724	724	724	24.3	26.4	24.5	23.6	24.8	18.6	724	3.5330000000000004
consensus.4-4.c2	mdp	prism	P	mdpqvbs	1	1	1	1	1	1	1	1	1	1	344.925	431.068	1.239	1.504	1.583	724	724	1	1	1	7.609	1.947	1	1.31	724	1	724	724	1	1	3.492	1.382	6.097	1	1	1	1	1	1	1.777	1	1.1	1	1	1	1	1	1	1.303	1	1.21	1	2.725	2.725	1.952	2.459	1.514	13.301	13.222	2.368	1	1	1	1	1	1	1	34.382	7.542	512	724	28.788	4.621	2.205	724	724	3.979	3.41	1.245	1.275	1	1	1	1	1	1.0368	1	1	1	1	1	724	724	1	1	1.4	1.9	2.8	1.1	1.1	1.4	4.0	1.7	29.9	7.9	10.9	9.2	1	1	1	1	1	1	1	1
consensus.4-4.disagree	mdp	prism	P	mdpqvbs	1	1	1	1	1	1	1	1	1	1	512	724	8.639	8.375	7.052	724	724	244.788	130.408	2.45	37.488	9.739	5.959	14.458	724	724	724	724	4.005	7.935	4.242	16.15	26.523	1	1.733	11.454	5.912	2.263	2.151	3.273	2.165	2.264	2.211	2.456	2.27	2.227	2.351	2.296	2.009	1.036	2.423	1.005	1	1	1	1	1	1	1	1	2.081	1	1	1	1	1	1	71.162	29.85	314.35	724	71.491	6.107	2.308	724	724	5.041	5.053	1.548	2.252	1	1	1.115	258.843	22.992	128.752	2.315	2.428	2.8524000000000003	1	1	724	724	1.7	49.6	6.2	2.3	10.4	1.8	2.4	2.8	10.6	2.5	135.1	10.5	17.5	7.2	1	1	1	1	1	1	1	1
consensus.6-2.c2	mdp	prism	P	mdpqvbs	2.977	3.786	2.256	2.234	4.33	3.508	5.923	5.423	5.446	3.643	724	724	8.796	19.307	22.286	724	724	7.702	1.818	3.627	125.298	32.746	12.768	33.758	724	1.089	724	724	1.586	19.909	5.516	23.939	3.591	6.176	2.907	9.396	9.465	85.376	43.927	164.877	90.611	38.484	39.799	41.209	60.27	68.72	47.005	49.601	246.844	15.556	41.746	18.446	512	512	83.866	505.997	114.231	724	724	512	39.079	5.651	7.711	4.978	5.131	6.955	7.943	724	724	724	724	724	724	724	724	724	724	724	3.653	5.568	3.308	12.543	23.2352	8.342	2.212	8.5456	39.8	724	724	14.3	13.8	724	724	44.0	724	724	512	512	217.5	724	503.7	512	352.6	724	724	724	724	5.7	5.7	5.7	15.8	4.4	15.1	12.2	1.089
consensus.6-2.disagree	mdp	prism	P	mdpqvbs	11.424	8.488	6.434	6.538	15.813	7.971	13.104	10.01	12.179	9.122	724	724	85.689	135.482	130.516	724	79.432	512	111.305	23.406	724	724	724	724	724	724	724	724	89.667	106.412	26.576	199.454	42.93	11.996	12.83	18.898	63.038	372.204	75.833	724	82.253	386.135	74.921	79.289	90.422	80.525	87.789	91.104	181.382	724	79.917	724	47.125	54.159	33.593	49.722	33.706	48.348	48.954	51.785	72.444	11.205	16.603	11.404	13.799	15.547	18.321	724	724	724	724	724	724	724	724	724	724	724	6.553999999999999	6.672	7.933	29.405	49.8472	486.894	291.632	724	78.907	512	724	15.7	14.0	724	724	300.8	724	724	724	724	240.9	724	212.1	724	372.7	724	724	724	724	14.9	13.4	13.5	15.0	12.6	18.7	18.2	6.434
consensus.6-2.steps_max	mdp	prism	E	mdpqvbs	19.859	14.769	7.35	7.107	22.67	14.365	28.182	21.69	66.787	34.171	20.558	36.542	724	724	724	724	512	724	724	266.92	724	65.571	39.7	99.307	724	724	724	724	188.066	212.342	724	724	124.391	26.392	27.07	23.853	39.125	138.415	222.24	724	224.957	118.923	237.193	199.826	195.706	219.955	216.43	193.105	512	135.677	247.223	117.842	343.916	343.803	512	348.388	512	724	724	274.596	207.959	106.213	186.666	99.692	113.426	512	512	724	724	724	724	724	724	724	724	724	724	724	3.218	3.057	16.354	58.852	71.8412	724	724	724	287.921	512	512	27.8	41.3	109.6	80.3	109.2	78.0	724	724	724	98.6	311.2	295.1	724	310.7	724	724	724	724	21.6	21.3	21.3	20.8	24.6	25.0	37.4	3.057
consensus.6-2.steps_min	mdp	prism	E	mdpqvbs	19.197	11.487	4.856	4.619	17.396	7.607	15.966	12.194	18.831	12.779	17.287	25.451	512	724	724	452.277	352.769	724	724	170.525	724	724	724	724	724	724	724	724	71.699	118.054	34.081	724	12.775	23.896	40.137	22.73	16.507	512	724	724	724	475.582	444.687	421.621	724	724	428.255	427.329	724	724	724	724	724	724	492.596	724	512	724	724	724	724	115.626	724	136.846	116.695	724	724	724	724	724	724	724	724	724	724	724	724	724	3.6140000000000003	3.841	13.842	54.504	106.87039999999999	724	724	724	724	724	724	12.7	18.6	22.4	40.3	123.6	45.9	724	724	512	53.7	459.1	90.9	724	206.6	724	724	724	724	15.4	11.5	11.5	11.3	10.3	13.9	17.0	3.6140000000000003
csma.3-4.time_max	mdp	prism	E	mdpqvbs	1	1	1	1	1.023	1	1	1	1.294	1	724	724	12.285	724	724	4.807	8.946	1.484	724	1	724	28.594	16.955	24.724	724	724	724	724	5.16	1	8.602	724	724	9.846	1	8.115	8.643	15.337	18.966	28.667	17.316	4.642	5.695	4.786	17.255	12.421	6.034	5.532	11.993	36.15	16.093	37.96	1	1	1	1	1	1	1	1	17.156	1	8.693	1	1	9.502	9.751	724	724	724	724	724	3.214	1	1.296	724	3.555	4.002	25.605999999999998	29.196	1	1.292	2.9648	1.543	1.326	7.1988	17.323	16.014	36.0214	1	1.3	2.3	2.3	41.7	1	288.5	1	724	1	7.7	1	11.4	1	724	1.6	45.8	1	1	1	1	1	1	1.2	1.5	1
csma.3-4.time_min	mdp	prism	E	mdpqvbs	1.498	1	1.284	1	1.016	1	1.387	1.563	1.46	1.326	724	724	7.965	724	724	5.12	9.683	1.914	724	1	724	13.765	9.432	21.849	724	724	724	724	4.251	724	5.752	724	724	4.673	1	7.655	6.298	5.27	6.202	9.043	6.239	6.233	5.379	5.32	7.003	6.892	8.457	6.76	6.723	72.585	20.519	46.355	1	1	1	1.744	1.308	1	1	1	5.473	1.202	30.062	1.393	1.373	28.755	33.548	724	724	724	724	724	3.869	1.318	1.591	724	14.887	14.984	22.914	724	1.328	1.808	3.4478	2.042	1.582	8.0648	6.734	6.805	17.4112	1.1	1.1	1	1.9	28.6	1	365.3	1	724	1	5.3	1	5.4	1	724	2.8	435.3	1	1	1	1	1	1	1.3	1.8	1
csma.4-2.time_min	mdp	prism	E	mdpqvbs	1	1	1	1	1	1	1	1	1	1	724	724	4.161	724	724	2.651	4.419	2.057	724	1	128.843	9.82	4.873	4.808	724	724	724	724	1.599	724	1.737	19.167	724	1.774	1	2.174	3.29	8.18	10.318	11.742	9.546	23.658	8.805	8.786	9.427	10.357	11.057	12.469	8.79	35.474	23.765	28.732	1	1	1	1	1.03	1	1	1	8.564	1	6.094	1	1.149	6.818	6.774	724	724	724	724	724	5.125	1.855	3.132	724	9.135	10.762	13.814	724	1	1	1.7844000000000002	2.201	1.027	7.139	9.021	10.278	23.339199999999998	1	1	1	1.2	7.0	1	201.5	1	724	1.5	17.4	1	10.3	1	724	4.9	206.6	1	1	1	1	1	1	1	1	1
