n	logs-avg.Storm.vi-toposhifted	logs-avg.Storm.ovi-toposhifted	logs-avg.Storm.vi2pi-topo-gmresshifted	logs-avg.Storm.vi2lp-topo-gurobishifted	logs-avg.mcsta.vishifted	logs-avg.mcsta.ovishifted	logs-run1.Storm.vi-toposhifted	logs-run1.Storm.ovi-toposhifted	logs-run1.Storm.vi2pi-topo-gmresshifted	logs-run1.Storm.vi2lp-topo-gurobishifted	logs-run1.mcsta.vishifted	logs-run1.mcsta.ovishifted	logs-run2.Storm.vi-toposhifted	logs-run2.Storm.ovi-toposhifted	logs-run2.Storm.vi2pi-topo-gmresshifted	logs-run2.Storm.vi2lp-topo-gurobishifted	logs-run2.mcsta.vishifted	logs-run2.mcsta.ovishifted	logs-run3.Storm.vi-toposhifted	logs-run3.Storm.ovi-toposhifted	logs-run3.Storm.vi2pi-topo-gmresshifted	logs-run3.Storm.vi2lp-topo-gurobishifted	logs-run3.mcsta.vishifted	logs-run3.mcsta.ovishifted	logs-run4.Storm.vi-toposhifted	logs-run4.Storm.ovi-toposhifted	logs-run4.Storm.vi2pi-topo-gmresshifted	logs-run4.Storm.vi2lp-topo-gurobishifted	logs-run4.mcsta.vishifted	logs-run4.mcsta.ovishifted	logs-run5.Storm.vi-toposhifted	logs-run5.Storm.ovi-toposhifted	logs-run5.Storm.vi2pi-topo-gmresshifted	logs-run5.Storm.vi2lp-topo-gurobishifted	logs-run5.mcsta.vishifted	logs-run5.mcsta.ovishifted	logs-avg.Storm.bestshifted	logs-avg.mcsta.bestshifted	logs-run1.Storm.bestshifted	logs-run1.mcsta.bestshifted	logs-run2.Storm.bestshifted	logs-run2.mcsta.bestshifted	logs-run3.Storm.bestshifted	logs-run3.mcsta.bestshifted	logs-run4.Storm.bestshifted	logs-run4.mcsta.bestshifted	logs-run5.Storm.bestshifted	logs-run5.mcsta.bestshifted	selection-bestshifted	bestshifted
61	28.0488	28.663600000000002	229.43	302.6312	21.48	66.47999999999999	28.502	28.096	229.293	312.416	21.2	58.1	28.261	28.121	229.255	302.535	21.0	61.4	28.365	27.954	229.37	302.677	21.3	61.9	27.526	31.608	229.416	297.779	21.7	61.8	27.59	27.539	229.419	297.749	21.8	76.1	8.4662	21.48	8.399	21.2	8.441	21.0	8.461	21.3	8.102	21.7	8.483	21.8	27.539	4.946
62	55.50599999999999	33.868	233.5964		21.54	77.78	46.261	33.996	230.005		21.9	78.7	56.314	33.863	229.713		21.3	75.7	45.631	33.86	229.557		21.7	75.7	55.658	33.838	230.377		21.9	75.6	43.489	33.783	249.354		22.3	82.7	11.8378	21.54	12.111	21.9	12.114	21.3	11.691	21.7	11.544	21.9	11.729	22.3	33.783	5.708
63	56.5046	50.9008	323.86379999999997		24.619999999999997	80.36	56.311	41.486	295.713		25.5	79.5	56.73	41.218	297.928		25.6	79.6	55.848	41.961	391.127		24.0	80.0	56.582	41.788	385.197		23.9	81.9	55.734	56.451	250.728		23.8	83.2	12.703999999999999	22.6	12.807	22.5	12.558	22.6	12.571	22.6	12.736	22.7	12.721	22.6	41.218	5.763
64	56.94500000000001	58.209			26.080000000000002	80.86	58.648	59.423			25.8	80.0	59.824	58.472			26.1	81.8	56.469	58.901			26.0	82.0	56.786	57.798			26.5	82.5	56.049	60.838			26.3	89.2	14.021600000000001	24.619999999999997	13.916	25.8	14.106	25.6	14.061	24.0	14.109	23.9	13.733	23.8	56.451	5.8
65	57.525400000000005	67.7038			34.46	95.2	59.006	68.219			32.8	93.5	59.911	68.499			35.2	95.5	56.636	69.114			34.9	94.7	63.41	66.851			35.1	95.2	56.68	67.761			34.3	97.1	19.8934	34.46	19.969	32.8	19.873	35.2	19.613	34.9	19.825	35.1	19.783	34.3	60.838	6.272
66	65.0244	68.69			52.52	132.18	60.248	70.737			50.3	135.3	65.98	69.876			53.4	135.5	63.162	70.217			53.5	134.9	66.548	69.857			52.7	127.6	64.542	83.112			52.7	127.6	23.0774	52.52	21.903	50.3	23.357	52.8	23.394	52.8	23.317	52.7	23.416	51.3	67.761	6.658
67	68.3272	83.3738			54.17999999999999	147.62	70.774	77.589			54.2	144.5	66.296	83.132			54.0	153.0	66.823	83.08			54.2	151.7	66.699	83.09			54.3	152.6	66.168	86.34			54.2	136.3	26.123	54.17999999999999	25.758	54.2	25.938	54.0	26.411	54.2	26.212	54.3	26.296	54.2	77.589	7.114
68	70.6104	85.2118			75.76	165.26	75.872	84.455			74.9	163.4	66.784	87.463			75.0	169.5	70.686	87.362			76.4	170.4	75.853	87.305			76.4	170.3	66.391	88.051			76.1	152.7	27.0034	75.76	26.916	74.9	27.087	75.0	27.174	75.7	27.0	75.6	26.84	76.1	83.08	7.29
69	78.63640000000001	104.7604			84.72	450.7	101.984	101.65			85.0	427.6	67.237	102.479			83.9	451.5	76.79	106.747			84.6	451.3	80.19	106.122			85.2	470.3	68.238	106.804			84.9	452.8	28.0488	77.78	28.502	78.7	28.261	75.7	28.365	76.4	27.526	76.4	27.59	82.7	101.65	9.0
70	81.5344	114.23859999999999			87.74		102.027	110.467			86.4		76.153	111.682			88.0		85.945	120.348			86.2		85.106	114.692			89.5		84.596	114.004			88.6		33.969	80.86	34.987	79.5	34.743	79.6	35.259	80.0	29.659	82.5	35.197	83.2	110.467	13.733
71	110.2806	141.2958			125.64000000000001		108.771	141.914			125.8		109.126	141.664			125.9		111.298	141.318			126.4		110.713	140.374			125.4		111.495	141.209			124.7		50.9008	84.72	41.486	85.0	41.218	83.9	41.961	84.6	41.788	85.2	55.734	84.9	140.374	14.2
72	142.21499999999997	144.3372			162.32		142.694	144.593			165.6		143.25	143.86			158.3		142.242	144.574			157.5		141.618	144.724			167.2		141.271	143.935			163.0		56.5046	87.74	56.311	86.4	56.314	88.0	55.848	86.2	55.658	89.5	56.049	88.6	143.86	17.4
73	169.3234	153.3346					171.436	153.32					169.877	148.507					163.466	153.373					170.808	153.405					171.03	153.23					56.94500000000001	95.2	59.006	93.5	56.73	95.5	56.469	94.7	56.582	95.2	56.68	97.1	148.507	22.5
74		159.8888						167.97						153.345						163.71						159.251						160.006					57.525400000000005	162.32	59.423	165.6	58.297	158.3	56.636	157.5	56.786	167.2	60.838	163.0	153.23	25.758
75		229.0854						229.052						228.992						229.151						229.152						229.076					62.5942		60.733		62.851		62.914		61.527		64.542		228.992	29.659
76		229.27339999999998						229.287						229.258						229.48						229.156						229.19					81.5344		75.872		76.153		85.945		85.106		84.596		229.152	32.8
77																																					110.2806		108.771		109.126		110.887		110.235		111.495			50.3
78																																					141.86579999999998		141.85		141.396		142.242		141.618		141.081			55.734
79																																					159.8888		167.97		148.507		163.466		159.251		160.006			56.311
80																																																		
