n	logs-avg.Storm.vi-toposhifted	logs-avg.Storm.ovi-toposhifted	logs-avg.Storm.vi2pi-topo-gmresshifted	logs-avg.Storm.vi2lp-topo-gurobishifted	logs-avg.mcsta.vishifted	logs-avg.mcsta.ovishifted	logs-run1.Storm.vi-toposhifted	logs-run1.Storm.ovi-toposhifted	logs-run1.Storm.vi2pi-topo-gmresshifted	logs-run1.Storm.vi2lp-topo-gurobishifted	logs-run1.mcsta.vishifted	logs-run1.mcsta.ovishifted	logs-run2.Storm.vi-toposhifted	logs-run2.Storm.ovi-toposhifted	logs-run2.Storm.vi2pi-topo-gmresshifted	logs-run2.Storm.vi2lp-topo-gurobishifted	logs-run2.mcsta.vishifted	logs-run2.mcsta.ovishifted	logs-run3.Storm.vi-toposhifted	logs-run3.Storm.ovi-toposhifted	logs-run3.Storm.vi2pi-topo-gmresshifted	logs-run3.Storm.vi2lp-topo-gurobishifted	logs-run3.mcsta.vishifted	logs-run3.mcsta.ovishifted	logs-run4.Storm.vi-toposhifted	logs-run4.Storm.ovi-toposhifted	logs-run4.Storm.vi2pi-topo-gmresshifted	logs-run4.Storm.vi2lp-topo-gurobishifted	logs-run4.mcsta.vishifted	logs-run4.mcsta.ovishifted	logs-run5.Storm.vi-toposhifted	logs-run5.Storm.ovi-toposhifted	logs-run5.Storm.vi2pi-topo-gmresshifted	logs-run5.Storm.vi2lp-topo-gurobishifted	logs-run5.mcsta.vishifted	logs-run5.mcsta.ovishifted	logs-avg.Storm.bestshifted	logs-avg.mcsta.bestshifted	logs-run1.Storm.bestshifted	logs-run1.mcsta.bestshifted	logs-run2.Storm.bestshifted	logs-run2.mcsta.bestshifted	logs-run3.Storm.bestshifted	logs-run3.mcsta.bestshifted	logs-run4.Storm.bestshifted	logs-run4.mcsta.bestshifted	logs-run5.Storm.bestshifted	logs-run5.mcsta.bestshifted	selection-bestshifted	bestshifted
25	1.3264	1.3801999999999999	4.8782	6.3671999999999995	1.6	2.82	1.412	1.355	4.865	6.292	1.6	2.8	1.395	1.358	4.822	6.297	1.6	2.8	1.346	1.409	4.701	6.335	1.5	2.6	1.342	1.398	4.433	6.348	1.6	3.0	1.196	1.366	4.802	5.727	1.5	2.6	0.7596	1.22	0.72	1.2	0.759	1.2	0.759	1.2	0.758	1.2	0.758	1.1	1.333	0.527
26	1.3818	1.668	4.9048	6.38	1.6	2.86	1.426	1.713	5.017	6.385	1.7	2.8	1.422	1.395	4.954	6.571	1.6	3.0	1.401	1.704	4.88	6.346	1.6	2.8	1.355	1.785	4.943	6.429	1.6	3.1	1.346	1.78	4.874	6.381	1.6	2.9	0.7782	1.22	0.758	1.3	0.792	1.2	0.804	1.3	0.804	1.2	0.771	1.3	1.358	0.596
27	1.7693999999999999	1.9954	4.9802	6.449599999999999	1.7	3.2399999999999998	1.799	1.96	5.104	6.395	1.7	3.4	1.707	1.954	4.965	7.063	1.7	3.0	1.857	1.835	4.946	6.568	1.8	2.9	1.639	2.062	4.989	6.585	1.6	3.9	1.685	1.975	4.881	6.514	1.8	3.0	0.8964000000000001	1.6	0.804	1.6	0.855	1.6	0.9	1.6	0.914	1.6	0.905	1.5	1.835	0.6
28	1.8454000000000002	2.07	5.0576	7.2864	1.94	3.78	1.861	2.078	5.282	7.039	1.8	4.0	1.782	2.058	5.306	7.116	1.9	3.9	1.934	2.04	4.98	7.099	2.0	4.0	1.859	2.126	5.18	7.276	2.0	4.0	1.853	2.047	5.18	6.954	2.0	3.6	0.9494	1.94	0.9	1.8	0.931	1.9	1.024	2.0	0.941	2.0	1.047	2.0	2.04	0.6
29	1.9797999999999998	2.0986000000000002	5.9792000000000005	7.464799999999999	2.06	4.06	1.954	2.095	6.102	7.144	1.9	4.1	1.935	2.106	6.13	7.28	2.1	4.0	1.955	2.116	6.13	7.145	2.0	4.1	1.908	2.253	5.771	7.555	2.0	4.0	1.977	2.115	5.763	7.145	2.3	4.0	1.1675999999999997	2.06	1.15	1.9	1.15	2.0	1.179	2.0	1.175	2.0	1.17	2.1	2.058	0.602
30	2.0372	2.344	6.2856	7.554399999999999	2.62	4.12	2.191	2.157	6.281	7.211	2.5	4.2	2.067	2.442	6.277	7.504	2.6	4.2	2.047	2.324	6.271	7.621	2.6	4.2	2.141	2.441	6.313	7.678	2.7	4.1	2.008	2.356	6.286	7.657	2.7	4.1	1.1792	2.62	1.183	2.4	1.189	2.5	1.182	2.6	1.18	2.7	1.176	2.5	2.157	0.621
31	2.6662	2.5388	6.8006	7.5922	2.86	4.56	2.612	2.454	6.822	7.362	2.7	4.5	2.673	2.572	6.784	7.578	2.8	4.5	2.686	2.59	6.8	7.677	2.9	4.6	2.682	2.588	6.772	8.465	2.8	4.6	2.678	2.49	6.781	7.695	2.8	4.6	1.2776	2.7199999999999998	1.27	2.5	1.276	2.6	1.275	2.6	1.278	2.8	1.289	2.6	2.454	0.657
32	2.9143999999999997	3.1288	6.9426000000000005	8.503400000000001	2.88	4.82	2.807	2.931	7.062	8.474	2.8	4.7	2.936	3.096	7.038	8.564	2.9	4.9	2.817	3.154	7.035	8.531	3.0	5.0	2.723	3.137	6.797	8.788	2.9	4.8	2.764	3.156	6.825	8.483	2.9	4.7	1.3818	2.86	1.412	2.8	1.395	2.8	1.401	2.6	1.355	2.9	1.346	2.9	2.931	0.692
33	2.9303999999999997	3.2432000000000003	7.3188	8.776	3.08	6.36	2.977	3.101	7.293	8.899	2.9	5.8	2.954	3.239	7.33	8.728	3.1	6.4	2.984	3.258	7.317	8.747	3.1	6.4	2.983	3.25	7.314	9.993	3.0	6.6	2.884	3.239	7.34	8.546	2.9	6.6	1.7693999999999999	2.86	1.799	2.9	1.707	2.8	1.835	2.9	1.639	3.0	1.685	2.9	3.096	0.758
34	2.9998	3.3572	7.637600000000001	9.716	3.2399999999999998	6.94	2.986	3.21	7.555	9.247	3.0	6.8	2.959	3.425	7.528	9.96	3.6	7.0	2.992	3.582	7.719	10.02	3.7	7.2	3.031	3.27	7.673	10.326	3.1	7.1	2.995	3.509	7.713	8.718	3.1	6.6	1.8454000000000002	3.08	1.861	3.0	1.782	3.1	1.857	3.1	1.859	3.1	1.853	3.1	3.21	0.804
35	3.0926	3.5631999999999997	8.4662	9.9672	3.78	7.88	3.022	3.4	8.399	9.802	3.8	8.0	3.039	3.661	8.484	10.231	3.8	8.1	3.033	3.616	8.461	10.226	3.8	8.0	3.045	3.63	8.446	10.33	3.7	7.7	3.04	3.598	8.541	10.061	3.7	7.6	1.9797999999999998	3.78	1.954	3.8	1.935	3.8	1.955	3.7	1.908	3.7	1.89	3.7	3.4	0.855
36	3.1148	3.7531999999999996	9.2912	11.8126	3.8199999999999994	8.620000000000001	3.212	3.708	8.874	11.638	3.9	8.4	3.223	3.671	9.728	11.753	3.9	8.4	3.054	3.71	9.823	11.94	4.0	8.4	3.307	3.79	9.188	11.81	3.8	8.4	3.304	3.759	8.843	11.922	3.9	9.5	2.0372	3.8199999999999994	2.095	3.9	2.058	3.9	2.047	3.8	2.126	3.8	2.008	3.9	3.671	1.1
37	3.2847999999999997	3.8856	12.480599999999999	12.6304	4.5600000000000005	9.82	3.269	3.858	12.258	12.625	4.8	9.4	3.27	4.249	12.317	12.659	4.4	10.0	3.274	3.772	12.203	12.823	4.4	10.0	3.397	3.819	12.744	12.857	4.4	9.6	3.403	3.858	12.881	12.188	4.4	9.6	2.344	4.06	2.157	4.1	2.442	3.9	2.324	4.1	2.441	4.0	2.356	4.0	3.759	1.1
38	4.296	4.489	13.283600000000002	14.0902	4.7	10.0	4.331	4.556	13.024	13.916	5.2	10.0	4.289	4.539	13.167	13.716	4.7	10.1	4.327	4.475	13.365	14.061	4.4	10.3	4.26	4.494	13.468	14.181	4.9	10.0	4.273	4.338	13.394	14.179	4.7	9.6	2.5388	4.12	2.454	4.2	2.572	4.2	2.59	4.2	2.588	4.1	2.49	4.1	4.338	1.27
39	4.349	4.537599999999999	14.021600000000001	15.453800000000001	5.2	10.32	4.36	4.565	13.872	16.043	5.4	10.4	4.36	4.562	13.81	14.114	5.2	10.3	4.353	4.506	14.147	15.814	5.1	10.6	4.302	4.587	14.109	15.829	5.2	10.2	4.37	4.491	13.733	15.867	5.1	10.4	2.9143999999999997	4.56	2.977	4.5	2.936	4.5	2.984	4.4	2.723	4.6	2.764	4.6	4.491	1.5
40	4.9676	4.8986	14.351400000000002	20.9872	7.640000000000001	10.559999999999999	4.972	4.576	14.013	19.969	7.6	10.5	4.983	5.011	14.106	20.352	7.6	10.5	4.919	4.656	14.578	19.999	7.7	10.8	4.996	4.955	14.805	19.942	7.6	10.6	4.867	4.969	14.692	24.674	7.6	10.6	2.9303999999999997	5.2	3.022	5.4	2.959	5.2	2.992	5.1	2.983	5.2	2.884	5.1	4.556	1.639
41	5.0094	5.2928	19.380599999999998	26.123	8.3	11.16	5.011	5.173	20.193	25.758	7.7	11.1	5.042	5.128	20.173	25.938	8.1	11.2	4.981	5.002	19.33	26.411	8.2	11.2	5.009	5.483	16.791	26.212	8.3	11.1	5.018	5.231	20.416	26.296	8.3	11.2	3.1148	6.36	3.155	5.8	3.181	6.4	3.054	6.4	3.045	6.6	3.04	6.6	4.656	1.782
42	5.3644	5.3496	21.332	30.1162	8.42	12.760000000000002	5.043	5.348	20.729	29.918	8.3	12.8	5.058	5.219	20.826	29.896	8.3	12.8	5.138	5.189	19.613	30.31	8.3	12.8	5.121	5.719	24.503	30.022	8.3	12.0	5.127	5.491	20.989	29.717	8.5	12.6	3.173	7.640000000000001	3.212	7.6	3.223	7.6	3.221	7.7	3.176	7.6	3.132	7.6	5.128	1.8
43	5.3936	5.6006	24.7108	30.3622	8.5	12.8	5.494	5.68	24.707	30.754	8.3	13.0	5.511	5.345	24.683	30.633	8.4	13.3	5.52	5.9	24.745	30.685	8.6	13.1	5.441	5.726	24.727	30.437	8.6	12.6	5.708	5.525	24.692	30.02	8.7	12.8	3.2847999999999997	8.3	3.269	7.7	3.27	8.1	3.274	8.2	3.307	8.3	3.304	8.3	5.219	1.857
44	5.5878	5.712000000000001	27.0034	32.931	8.66	13.680000000000001	5.79	5.693	26.916	30.929	8.4	13.7	5.792	5.723	27.087	34.096	8.5	13.8	5.583	5.901	27.174	33.462	8.6	13.7	5.607	5.836	26.39	33.922	8.6	13.1	5.744	5.809	26.381	31.181	8.7	13.0	3.8856	8.42	3.858	8.3	4.249	8.3	3.772	8.3	3.79	8.3	3.759	8.7	5.525	1.89
45	5.8418	6.8834	27.240199999999998	33.017	8.66	14.4	5.794	6.534	27.046	31.027	8.5	14.6	5.992	6.542	28.186	34.125	8.5	14.5	5.945	6.544	28.198	33.921	8.6	14.5	5.77	6.539	27.0	34.326	8.6	13.6	5.847	6.885	26.84	32.188	8.8	13.6	4.296	8.66	4.303	8.3	4.289	8.5	4.327	8.6	4.26	8.6	4.273	8.7	6.534	1.9
46	6.1278	6.922399999999999	33.969	34.7282	8.72	14.76	6.19	6.907	34.987	34.165	8.6	14.9	6.087	6.896	34.743	34.312	8.6	14.9	6.049	6.828	35.259	34.025	8.8	14.9	6.053	6.901	29.659	34.529	8.8	14.2	5.999	7.3	35.197	34.459	8.8	14.2	4.349	8.66	4.331	8.5	4.327	8.5	4.353	8.6	4.302	8.6	4.33	8.8	6.828	2.157
47	6.3788	7.238200000000001	43.3042	34.748200000000004	8.8	14.940000000000001	6.293	7.092	39.597	36.147	8.7	15.1	6.245	7.192	44.851	35.144	8.6	15.1	6.316	7.066	44.855	35.06	8.8	15.1	6.446	7.067	44.814	34.973	8.8	14.5	6.308	7.337	42.404	35.131	8.9	14.6	4.8986	8.72	4.556	8.6	4.954	8.6	4.656	8.8	4.955	8.8	4.867	8.8	7.066	2.4
48	6.706999999999999	7.240399999999999	60.4616	40.193799999999996	8.82	15.6	6.41	7.175	57.791	37.573	8.8	15.6	6.272	7.25	57.937	41.772	8.8	16.0	6.694	7.226	57.729	41.518	8.9	18.5	6.706	7.278	61.297	41.68	8.9	14.7	6.658	7.682	57.135	38.426	9.6	14.7	5.0094	8.8	4.972	8.7	4.965	8.6	4.919	8.8	5.009	8.8	5.018	8.9	7.092	2.764
49	6.843999999999999	7.286	61.4738	59.8644	9.1	17.76	6.552	7.184	60.733	54.713	8.8	16.6	6.733	7.27	58.297	46.131	8.8	16.6	7.29	7.37	61.895	62.523	8.9	19.5	7.232	7.334	61.527	62.338	9.0	18.6	7.399	7.906	61.261	45.327	9.9	17.8	5.0576	8.82	5.017	8.8	5.042	8.8	4.946	8.9	5.121	8.9	5.127	9.6	7.175	2.8
50	7.223999999999999	8.1722	62.5942	60.6044	9.2	18.7	6.744	7.551	68.785	56.802	8.9	18.1	7.114	7.506	62.851	62.75	9.0	18.8	7.299	8.387	62.914	64.339	9.0	20.3	7.327	8.431	67.55	62.8	9.0	19.3	7.536	8.453	64.946	58.147	10.0	18.0	5.2928	9.1	5.043	8.8	5.058	8.8	4.98	8.9	5.18	9.0	5.18	9.6	7.506	3.0
