benchmark	Type	Orig	Prop	Class	logs-E1620-dockerized.Storm.vi-topo	logs-E1620-dockerized.Storm.ovi-topo	logs-E1620-dockerized.Storm.vi2pi-topo-gmres	logs-E1620-dockerized.Storm.vi2lp-topo-gurobi	logs-E1620-dockerized.mcsta.vi	logs-E1620-dockerized.mcsta.ovi	logs-E1620-dockerized-gprob.Storm.vi-topo	logs-E1620-dockerized-gprob.Storm.ovi-topo	logs-E1620-dockerized-gprob.Storm.vi2pi-topo-gmres	logs-E1620-dockerized-gprob.Storm.vi2lp-topo-gurobi	logs-E1620-dockerized-gprob.mcsta.vi	logs-E1620-dockerized-gprob.mcsta.ovi	logs-M2Pro.Storm.vi-topo	logs-M2Pro.Storm.ovi-topo	logs-M2Pro.Storm.vi2pi-topo-gmres	logs-M2Pro.Storm.vi2lp-topo-gurobi	logs-M2Pro.mcsta.vi	logs-M2Pro.mcsta.ovi	logs-M2Pro-2.Storm.vi-topo	logs-M2Pro-2.Storm.ovi-topo	logs-M2Pro-2.Storm.vi2pi-topo-gmres	logs-M2Pro-2.Storm.vi2lp-topo-gurobi	logs-M2Pro-2.mcsta.vi	logs-M2Pro-2.mcsta.ovi	logs-R32200-dockerized.Storm.vi-topo	logs-R32200-dockerized.Storm.ovi-topo	logs-R32200-dockerized.Storm.vi2pi-topo-gmres	logs-R32200-dockerized.Storm.vi2lp-topo-gurobi	logs-R32200-dockerized.mcsta.vi	logs-R32200-dockerized.mcsta.ovi	logs-R54650U-dockerized.Storm.vi-topo	logs-R54650U-dockerized.Storm.ovi-topo	logs-R54650U-dockerized.Storm.vi2pi-topo-gmres	logs-R54650U-dockerized.Storm.vi2lp-topo-gurobi	logs-R54650U-dockerized.mcsta.vi	logs-R54650U-dockerized.mcsta.ovi	logs-R97950X-dockerized.Storm.vi-topo	logs-R97950X-dockerized.Storm.ovi-topo	logs-R97950X-dockerized.Storm.vi2pi-topo-gmres	logs-R97950X-dockerized.Storm.vi2lp-topo-gurobi	logs-R97950X-dockerized.mcsta.vi	logs-R97950X-dockerized.mcsta.ovi	logs-TRP5965-dockerized.Storm.vi-topo	logs-TRP5965-dockerized.Storm.ovi-topo	logs-TRP5965-dockerized.Storm.vi2pi-topo-gmres	logs-TRP5965-dockerized.Storm.vi2lp-topo-gurobi	logs-TRP5965-dockerized.mcsta.vi	logs-TRP5965-dockerized.mcsta.ovi	logs-TRP5965-native.Storm.vi-topo	logs-TRP5965-native.Storm.ovi-topo	logs-TRP5965-native.Storm.vi2pi-topo-gmres	logs-TRP5965-native.Storm.vi2lp-topo-gurobi	logs-TRP5965-native.mcsta.vi	logs-TRP5965-native.mcsta.ovi	logs-TRP5965-nativeportable.Storm.vi-topo	logs-TRP5965-nativeportable.Storm.ovi-topo	logs-TRP5965-nativeportable.Storm.vi2pi-topo-gmres	logs-TRP5965-nativeportable.Storm.vi2lp-topo-gurobi	logs-TRP5965-nativeportable.mcsta.vi	logs-TRP5965-nativeportable.mcsta.ovi	logs-TRP5965-nativeportable-wls.Storm.vi-topo	logs-TRP5965-nativeportable-wls.Storm.ovi-topo	logs-TRP5965-nativeportable-wls.Storm.vi2pi-topo-gmres	logs-TRP5965-nativeportable-wls.Storm.vi2lp-topo-gurobi	logs-TRP5965-nativeportable-wls.mcsta.vi	logs-TRP5965-nativeportable-wls.mcsta.ovi	logs-claix23.Storm.vi-topo	logs-claix23.Storm.ovi-topo	logs-claix23.Storm.vi2pi-topo-gmres	logs-claix23.Storm.vi2lp-topo-gurobi	logs-claix23.mcsta.vi	logs-claix23.mcsta.ovi	logs-i910980xe-dockerized.Storm.vi-topo	logs-i910980xe-dockerized.Storm.ovi-topo	logs-i910980xe-dockerized.Storm.vi2pi-topo-gmres	logs-i910980xe-dockerized.Storm.vi2lp-topo-gurobi	logs-i910980xe-dockerized.mcsta.vi	logs-i910980xe-dockerized.mcsta.ovi	logs-i910980xe-native.Storm.vi-topo	logs-i910980xe-native.Storm.ovi-topo	logs-i910980xe-native.Storm.vi2pi-topo-gmres	logs-i910980xe-native.Storm.vi2lp-topo-gurobi	logs-i910980xe-native.mcsta.vi	logs-i910980xe-native.mcsta.ovi	logs-i910980xe-native-portable.Storm.vi-topo	logs-i910980xe-native-portable.Storm.ovi-topo	logs-i910980xe-native-portable.Storm.vi2pi-topo-gmres	logs-i910980xe-native-portable.Storm.vi2lp-topo-gurobi	logs-i910980xe-native-portable.mcsta.vi	logs-i910980xe-native-portable.mcsta.ovi	logs-i911900K-dockerized.Storm.vi-topo	logs-i911900K-dockerized.Storm.ovi-topo	logs-i911900K-dockerized.Storm.vi2pi-topo-gmres	logs-i911900K-dockerized.Storm.vi2lp-topo-gurobi	logs-i911900K-dockerized.mcsta.vi	logs-i911900K-dockerized.mcsta.ovi	best
bigmec.100000.prob_max	mdp	prism	P	mdpmec	95.04	1	1	95.205	236.7	171.2	94.724	1	1	95.215	236.0	170.6	67.463	1	1	67.719	162.5	130.0	67.244	1	1	67.834	145.8	115.4	81.838	1	1	80.099	220.1	168.4	70.143	1	1	71.971	174.0	126.0	33.469	1	1	33.758	107.9	86.1	38.108	1	1	38.291	131.5	94.3	38.207	1	1	38.632	131.2	97.9	38.152	1	1	38.365	131.1	94.8	38.167	1	1	38.361	131.1	94.4	44.37	1	1	44.171	125.2	94.4	71.369	1	1	71.698	176.6	144.9	202.989	1	1	205.725	177.2	145.0	222.335	1	1	226.06	177.0	144.7	44.331	1	1	45.513	119.6	91.7	1
brp-pta.64-12-32-256.Emin	pta	modest	E	ptaqvbs	171.862	51.563	49.611	173.144	47.2	37.1	171.862	51.563	49.611	173.144	47.2	37.1	68.194	19.924	19.456	68.402	28.2	23.4	67.849	19.844	19.462	68.482	27.9	24.1	724	724	724	724	724	724	101.376	41.464	40.725	724	34.8	27.6	76.788	33.926	32.97	83.168	23.0	20.2	63.488	27.269	26.777	63.243	26.1	19.6	64.089	26.098	25.865	64.124	26.0	19.7	63.047	26.426	25.903	63.542	26.1	19.8	63.23	26.252	25.837	63.438	26.1	19.7	65.045	28.079	27.81	64.178	26.4	22.7	172.906	50.283	48.964	173.648	42.6	34.9	194.44	58.722	56.939	195.293	42.8	34.9	196.289	59.471	58.327	196.515	42.8	35.3	80.395	34.085	33.441	80.541	24.6	21.4	19.456
brp-pta.64-12-32-256.P_1	pta	modest	P	ptaqvbs	169.662	171.754	170.6	171.91	6.2	41.3	169.106	171.354	170.014	169.833	6.2	41.4	75.694	76.744	76.89	75.747	3.1	34.7	75.596	76.493	76.616	76.197	3.1	38.0	171.539	173.855	173.269	171.835	5.6	36.8	178.124	180.151	180.093	180.089	4.2	24.3	138.482	140.072	140.352	139.475	2.8	21.2	133.247	134.042	133.612	133.865	3.2	19.1	128.778	131.066	132.71	129.254	3.2	19.3	132.506	132.634	132.203	131.514	3.2	19.1	137.666	132.991	132.063	132.771	3.2	19.0	138.89	138.699	218.586	144.231	3.3	21.2	180.098	184.526	181.962	180.584	6.0	37.4	240.914	243.938	240.438	239.809	6.1	37.4	241.009	243.553	243.337	240.802	5.9	37.7	109.568	110.425	110.249	109.541	3.0	20.1	2.8
brp-pta.64-12-32-256.P_3	pta	modest	P	ptaqvbs	131.93	133.783	133.496	132.125	7.4	40.9	131.834	133.537	132.328	131.219	7.3	41.3	58.158	59.199	59.206	58.542	3.7	52.1	58.304	59.216	59.14	58.616	4.0	37.2	129.774	129.887	132.817	130.246	7.1	38.0	137.743	139.015	139.277	137.98	4.9	24.7	112.824	108.053	113.784	110.668	3.6	21.8	102.818	102.939	103.94	102.733	3.8	19.4	99.001	101.208	101.367	99.539	3.8	19.4	100.721	103.279	103.166	100.919	3.8	19.4	101.941	103.293	103.169	101.053	3.8	19.4	109.474	111.373	111.893	138.51	3.9	21.5	139.252	142.904	140.906	139.727	6.8	36.9	185.51	187.471	187.29	724	6.8	37.2	183.118	186.382	187.941	185.115	6.8	36.7	84.943	86.19	85.723	85.054	3.7	20.8	3.6
consensus-mec.4-2.disagree	mdp	prism	P	mdpmec	1	9.709	9.67	13.453	2.2	7.9	1	9.701	9.671	13.34	2.2	7.9	1	5.124	5.032	6.246	1	17.3	1	5.127	5.032	6.277	1	15.6	1	12.841	11.84	15.974	2.2	8.6	1	9.803	9.767	11.234	1.5	5.6	1	7.213	7.225	9.664	1	3.0	1	6.059	6.046	6.806	1.1	4.1	1	6.604	6.27	6.791	1.1	4.1	1	6.317	6.288	6.375	1.1	4.1	1	6.319	6.547	6.794	1.1	4.1	1	7.051	6.846	7.36	1.2	4.4	1	7.155	7.148	8.435	1.7	6.4	1.338	8.003	7.651	9.206	1.7	6.4	1.377	8.601	8.281	9.269	1.7	6.5	1	6.256	6.234	8.057	1	4.3	1
consensus-mec.4-6.disagree	mdp	prism	P	mdpmec	11.496	97.654	433.46	120.097	43.3	724	11.554	97.617	433.274	121.045	43.2	724	5.971	53.279	205.177	48.043	20.6	724	5.98	53.278	206.431	48.005	20.8	724	12.035	116.016	481.892	115.632	43.5	724	9.978	96.203	365.134	78.842	30.5	724	5.292	54.364	257.393	64.008	15.9	724	5.759	60.032	243.069	48.047	22.0	724	5.819	62.301	192.863	47.928	22.0	724	5.62	64.937	198.764	47.107	22.0	724	5.602	62.467	198.794	47.54	22.0	724	7.84	68.065	234.516	56.533	24.5	724	10.452	72.902	316.933	74.025	36.1	724	22.414	96.822	512	87.559	36.1	724	23.044	103.955	512	88.232	36.8	724	6.019	62.089	244.316	64.735	20.8	724	5.292
consensus.4-4.c2	mdp	prism	P	mdpqvbs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.706	1	1	1	1	1	4.705	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
consensus.4-4.disagree	mdp	prism	P	mdpqvbs	1	1	7.602	1	1	1	1	1	7.705	1	1	1	1	1	19.641	1	1	1	1	1	19.704	1	1	1	1	1	8.472	1	1.1	1	1	1	6.126	1	1	1	1	1	4.776	1	1	1	1	1	4.37	1	1	1	1	1	1.545	1	1	1	1	1	3.972	1	1	1	1	1	3.935	1	1	1	1	1	26.23	1	1	1	1	1	5.803	1	1	1	1	1	5.253	1	1	1	1	1.013	7.787	1	1	1	1	1	4.575	1	1	1	1
consensus.6-2.c2	mdp	prism	P	mdpqvbs	3.048	5.102	4.665	8.106	19.3	13.8	3.096	5.113	4.69	7.965	19.3	13.8	1.606	2.973	15.831	4.155	10.6	10.1	1.607	2.983	15.842	4.202	10.5	10.1	3.351	5.064	5.134	8.659	19.3	14.9	2.352	3.704	3.679	6.623	14.0	10.7	1.278	2.112	2.191	4.709	7.8	6.3	1.414	2.358	2.234	3.767	10.6	7.6	1.417	2.255	2.201	3.765	10.5	7.6	1.428	2.341	2.114	3.721	10.6	7.6	1.423	2.338	2.11	3.773	10.6	7.5	1.761	3.083	2.631	4.638	13.9	11.3	2.387	4.178	3.593	5.913	17.2	13.5	6.208	11.806	7.312	9.515	17.2	13.6	6.508	11.912	8.134	9.892	17.4	13.8	1.611	2.542	2.376	4.389	10.9	8.6	1.278
consensus.6-2.disagree	mdp	prism	P	mdpqvbs	8.197	10.879	22.27	16.736	24.0	17.7	8.165	10.941	22.388	16.718	24.1	17.7	3.539	5.428	51.347	8.222	17.0	11.4	3.548	5.434	50.937	8.4	13.5	13.7	8.206	10.981	21.963	17.624	24.1	19.8	7.048	9.105	17.504	14.072	17.5	14.0	4.605	5.84	11.813	10.184	10.4	8.1	5.442	6.798	12.505	9.844	13.0	10.1	5.462	6.913	32.233	9.936	13.1	10.1	5.328	6.777	11.614	9.517	13.1	10.1	5.332	6.773	11.641	9.765	13.0	10.1	5.735	7.716	39.172	10.959	14.7	13.0	8.12	10.163	18.291	14.13	21.4	17.4	15.014	22.643	22.864	21.455	21.6	17.4	15.241	22.9	27.847	21.692	21.7	17.6	4.293	5.532	11.743	9.588	13.4	11.4	3.539
consensus.6-2.steps_max	mdp	prism	E	mdpqvbs	10.497	18.901	724	172.967	34.7	52.6	10.533	18.742	724	172.285	34.6	52.4	6.727	12.606	724	75.385	21.3	32.2	6.725	12.63	724	75.51	21.2	33.2	10.493	18.893	724	177.948	33.5	50.0	8.407	14.662	724	124.323	25.2	39.6	4.938	8.375	724	104.998	15.2	22.0	5.056	8.963	724	75.876	18.2	26.3	4.764	8.716	73.603	76.402	18.3	26.1	4.854	8.947	724	75.206	18.2	26.2	4.851	8.963	724	76.274	18.1	26.1	8.082	11.978	129.122	111.541	24.7	45.7	8.686	15.157	724	108.867	31.0	49.7	21.77	43.454	724	121.365	31.2	49.7	22.614	45.244	724	122.522	31.4	51.0	5.319	9.945	724	99.002	19.4	32.3	4.764
consensus.6-2.steps_min	mdp	prism	E	mdpqvbs	8.573	12.663	21.556	234.62	18.0	25.2	8.563	12.87	21.307	235.013	18.0	25.1	5.418	8.643	11.107	98.359	10.9	17.3	5.436	8.641	11.326	98.003	10.9	16.6	9.252	12.808	24.72	230.609	18.3	24.6	7.052	9.515	17.838	159.826	13.1	18.3	4.13	6.085	11.504	129.009	7.6	12.2	4.226	6.091	11.423	91.46	9.6	12.6	4.144	5.735	9.273	91.384	9.7	12.6	4.257	6.062	10.703	91.04	9.6	12.6	4.266	6.058	10.74	90.266	9.6	12.7	4.818	7.571	12.036	113.198	11.2	17.0	6.699	10.58	16.544	130.595	16.4	24.5	15.896	27.948	28.338	140.48	16.4	24.7	17.033	28.395	29.554	143.115	16.7	25.0	4.374	6.271	11.928	123.547	10.3	15.4	4.13
csma.3-4.time_max	mdp	prism	E	mdpqvbs	1	1	724	1.026	1.6	2.0	1	1	724	1.025	1.6	2.0	1	1	724	1	1	1.8	1	1	724	1	1	2.2	1	1	724	1.074	1.5	1.9	1	1	724	1	1.2	1.6	1	1	724	1	1	1	1	1	724	1	1	1.1	1	1	724	1	1	1.1	1	1	724	1	1	1.1	1	1	724	1	1	1	1	1	724	1	1	1.2	1	1	724	1	1.3	1.8	1	1	724	1.118	1.3	1.8	1	1	724	1.138	1.3	1.8	1	1	724	1	1	1.1	1
csma.3-4.time_min	mdp	prism	E	mdpqvbs	2.103	1	724	2.566	1.4	1.7	2.105	1	724	2.431	1.5	1.7	1	1	724	1	1	1.5	1	1	724	1	1	1.7	2.479	1	724	2.778	1.4	1.7	1.846	1	724	2.26	1.1	1.3	1.101	1	724	1.469	1	1	1.091	1	724	1.274	1	1	1.084	1	724	1.246	1	1	1.063	1	724	1.086	1	1	1.076	1	724	1.315	1	1	1.261	1	724	1.324	1	1	1.718	1	724	2.026	1.2	1.5	2.232	1	724	2.54	1.2	1.5	2.25	1	724	2.553	1.2	1.6	1.166	1	724	1.232	1	1	1
csma.4-2.time_min	mdp	prism	E	mdpqvbs	1	1	724	1.336	1	1	1	1	724	1.355	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1.081	1	724	1.443	1	1	1	1	724	1.212	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1.027	1	724	1.134	1	1	1.028	1	724	1.139	1	1	1	1	724	1	1	1	1
dpm.4-6-100.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	56.075	1	1	1	1	1	56.075	1	1	1	1	1	24.101	1	1	1	1	1	24.139	1	1	1	1	1	71.566	1	1	1	1	1	724	1	1	1	1	1	40.349	1	1	1	1	1	28.213	1	1	1	1	1	28.177	1	1	1	1	1	28.081	1	1	1	1	1	28.145	1	1	1	1	1	30.971	1	1	1	1	1	35.038	1	1	1	1	1	42.906	1	1	1	1	1	35.32	1	1	1	1	1	34.346	1	1	1
dpm.4-6-25.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	56.484	1	1	1	1	1	56.484	1	1	1	1	1	24.126	1	1	1	1	1	24.143	1	1	1	1	1	71.958	1	1	1	1	1	724	1	1	1	1	1	39.591	1	1	1	1	1	28.145	1	1	1	1	1	28.076	1	1	1	1	1	28.106	1	1	1	1	1	28.109	1	1	1	1	1	39.308	1	1	1	1	1	34.996	1	1	1	1	1	42.835	1	1	1	1	1	35.371	1	1	1	1	1	34.483	1	1	1
dpm.4-6-50.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	56.242	1	1	1	1	1	56.242	1	1	1	1	1	24.167	1	1	1	1	1	24.129	1	1	1	1	1	71.913	1	1	1	1	1	724	1	1	1	1	1	40.291	1	1	1	1	1	28.075	1	1	1	1	1	28.116	1	1	1	1	1	28.131	1	1	1	1	1	28.166	1	1	1	1	1	30.937	1	1	1	1	1	35.043	1	1	1	1	1	42.899	1	1	1	1	1	35.355	1	1	1	1	1	34.584	1	1	1
dpm.6-8-5.PminQueue1Full	ma	modest	P	maqvbs	31.143	34.984	159.298	724	12.8	8.7	31.128	34.964	159.369	724	12.8	8.7	16.463	18.738	82.181	249.687	8.2	7.1	16.414	18.741	82.613	250.398	8.2	9.0	724	724	724	724	724	724	28.904	32.791	109.25	724	11.5	7.7	24.039	27.218	120.779	373.085	7.3	5.9	22.108	25.313	79.447	285.592	8.2	5.6	21.878	24.683	76.947	286.433	8.2	5.6	22.077	24.934	79.14	285.581	8.2	5.5	22.059	25.002	79.064	286.741	8.2	5.6	23.673	25.709	91.572	724	7.6	5.3	32.139	36.14	141.682	465.101	11.7	8.7	41.948	48.596	151.08	482.955	11.7	8.7	41.445	48.177	158.351	476.685	11.6	8.6	19.941	22.577	94.545	304.852	7.6	5.7	5.3
dpm.6-8-5.PminQueuesFull	ma	modest	P	maqvbs	37.314	43.753	191.604	724	21.0	6.4	37.445	43.786	191.582	724	21.0	6.4	20.055	23.904	99.18	196.394	14.6	5.5	20.06	23.953	99.847	197.726	15.3	5.5	724	724	724	724	724	724	34.206	41.427	131.067	724	19.5	6.2	30.357	36.296	150.225	295.772	11.9	4.3	26.437	31.543	94.419	186.212	13.6	4.1	26.083	30.684	90.857	187.422	13.6	4.1	26.123	31.087	93.857	187.364	13.5	4.1	26.434	31.418	93.576	188.308	13.5	4.1	27.223	33.123	110.442	724	12.6	4.4	39.049	46.605	171.205	311.048	19.1	6.3	52.072	64.737	183.128	332.087	19.0	6.2	51.436	64.313	184.729	325.875	19.0	6.2	24.122	28.516	113.066	260.482	12.5	4.2	4.1
evade-mdp.10-0.7.prob_max	mdp	prism	P	mdpgridmec	65.73	109.985	41.559	724	103.3	205.1	65.753	109.778	41.716	724	103.2	205.1	28.805	51.706	18.148	724	58.9	202.1	28.817	51.762	18.296	724	59.8	269.1	59.274	98.615	40.242	724	107.4	194.2	52.801	87.757	34.714	724	98.8	206.7	31.29	52.922	23.237	724	46.5	102.0	30.554	50.145	21.124	724	52.9	104.5	29.598	50.771	20.92	724	52.9	104.8	28.865	50.272	20.769	724	52.7	104.7	28.939	50.328	20.717	724	52.5	104.9	65.43	88.415	35.074	724	77.2	153.9	75.324	119.843	41.256	724	91.7	199.5	94.562	168.465	49.558	724	92.5	200.3	97.38	171.491	49.918	724	94.4	205.8	40.333	65.463	25.366	724	59.1	125.5	18.148
evade-mdp.8-0.7.prob_max	mdp	prism	P	mdpgridmec	16.6	11.389	6.562	724	28.5	724	16.744	10.972	6.622	724	28.5	724	7.567	5.176	2.931	724	16.3	724	7.572	5.179	2.944	724	16.3	724	15.777	11.107	6.588	724	31.3	724	13.428	9.203	5.756	724	25.1	724	6.837	4.785	4.011	724	13.2	724	8.007	5.521	3.507	724	15.5	724	7.473	5.511	3.51	724	15.5	724	7.439	5.516	3.392	724	15.4	724	7.482	5.499	3.387	724	15.5	724	15.535	8.116	5.713	724	20.9	724	18.544	10.813	6.71	724	25.9	724	24.047	16.883	8.53	724	25.5	724	25.557	17.233	8.765	724	26.3	724	9.767	6.108	4.026	724	16.1	724	2.931
firewire.true-3-600.time_max	mdp	prism	E	mdpqvbs	1	1	1	1	16.7	24.0	1	1	1	1	16.7	24.0	1	1	1	1	9.3	18.3	1	1	1	1	9.4	17.6	1	1	1	1	16.2	23.2	1	1	1	1	12.7	18.2	1	1	1	1	7.8	11.9	1	1	1	1	9.2	12.9	1	1	1	1	9.3	13.0	1	1	1	1	9.3	13.0	1	1	1	1	9.5	13.1	1	1	1	1	9.1	13.9	1	1	1	1	13.5	20.5	1	1	1	1	13.5	20.5	1	1	1	1	13.7	20.8	1	1	1	1	8.7	13.2	1
firewire.true-3-600.time_sending	mdp	prism	E	mdpqvbs	1	1	1	1	16.9	19.5	1	1	1	724	16.9	19.6	1	1	1	1	9.3	14.1	1	1	1	1	10.4	13.9	1	1	1	1	16.3	19.3	1	1	1	1	12.7	14.7	1	1	1	1	7.7	9.7	1	1	1	1	9.2	10.5	1	1	1	1	9.2	10.6	1	1	1	1	9.2	10.7	1	1	1	1	9.3	10.7	1	1	1	1	9.2	11.6	1	1	1	1	13.4	16.7	1	1	1	1	13.4	16.8	1	1	1	1	13.6	16.9	1	1	1	1	8.6	10.7	1
firewire.true-36-200.time_max	mdp	prism	E	mdpqvbs	6.887	7.31	8.14	11.272	144.3	221.4	6.832	7.308	8.124	11.21	144.2	221.1	2.639	2.866	3.212	4.241	88.0	176.2	2.631	2.881	3.208	4.309	88.5	161.3	7.476	7.956	8.675	12.076	126.2	201.5	6.351	6.706	7.304	9.564	103.0	161.5	4.119	4.392	4.745	6.853	65.4	114.0	3.683	3.987	4.28	5.661	72.3	114.4	3.58	3.896	4.155	5.561	72.8	113.9	3.536	3.867	4.086	5.336	73.1	113.7	3.534	3.898	4.105	5.537	72.8	113.5	4.049	4.335	5.234	6.559	73.9	125.4	6.438	6.862	7.355	9.231	121.9	203.9	8.17	9.173	9.156	10.999	121.7	205.1	8.275	9.326	9.301	10.979	121.6	205.1	4.268	4.492	4.901	6.827	75.6	128.0	2.631
firewire.true-36-200.time_min	mdp	prism	E	mdpqvbs	17.038	8.016	7.835	17.703	14.8	17.0	16.932	8.049	7.839	724	14.8	17.0	7.351	3.21	3.151	7.726	8.9	14.3	7.359	3.22	3.153	7.742	8.8	16.7	15.367	8.699	8.431	16.194	13.8	15.6	12.493	7.623	7.47	13.135	11.2	12.6	8.331	5.513	5.289	9.042	7.1	9.0	7.919	5.127	4.576	8.295	8.0	8.9	7.841	4.641	4.391	8.151	8.0	8.8	7.788	4.591	4.373	7.996	8.0	8.9	7.775	4.575	4.386	8.2	8.0	8.8	8.798	5.274	5.181	8.872	8.3	9.8	16.41	7.742	7.57	17.004	13.5	16.1	19.599	9.74	9.522	20.45	13.5	16.2	19.723	9.811	9.476	20.295	13.6	16.2	9.055	5.113	5.018	9.689	8.5	10.1	3.151
firewire.true-36-200.time_sending	mdp	prism	E	mdpqvbs	6.836	7.239	6.945	22.074	101.5	134.9	6.811	7.195	6.92	22.094	101.7	134.7	2.615	2.81	2.651	6.895	57.9	102.3	2.622	2.807	2.648	6.867	65.2	126.8	7.422	7.742	7.479	24.27	90.7	123.4	6.251	6.64	6.314	15.966	76.3	100.5	4.108	4.36	4.459	14.445	46.4	66.5	3.635	3.958	3.706	9.97	52.8	70.0	3.539	3.81	3.627	9.863	53.2	70.2	3.542	3.774	3.566	9.645	53.2	70.4	3.534	3.803	3.559	9.831	53.3	70.6	4.123	4.64	3.902	11.229	53.5	76.5	6.432	6.746	6.539	13.579	87.8	124.8	8.129	8.913	8.209	15.365	87.8	124.8	8.187	9.055	8.266	15.275	87.9	124.9	4.263	4.433	4.305	13.006	54.8	78.1	2.615
flexible-manufacturing.21-1.M3Fail_E	ma	greatspn	E	maqvbs	3.365	2.901	4.565	724	4.7	4.9	3.365	2.901	4.565	724	4.7	4.9	1.664	1.348	2.526	724	2.2	2.8	1.679	1.348	2.527	724	2.2	3.1	3.671	2.644	4.602	724	4.9	4.8	2.925	2.055	3.747	724	3.3	3.1	1.572	1	1.907	724	2.0	2.0	1.297	1.099	1.934	724	2.3	2.1	1.282	1.148	1.929	724	2.3	2.1	1.318	1.125	1.944	724	2.3	2.1	1.314	1.144	1.955	724	2.3	2.1	2.143	1.711	3.121	724	2.7	2.9	3.123	2.784	4.511	724	3.7	4.3	4.506	4.585	5.682	724	3.7	4.3	4.525	4.492	5.67	724	3.9	4.4	2.032	1.72	2.812	724	2.5	2.7	1
flexible-manufacturing.3-1.M2Fail_E	ma	greatspn	E	maqvbs	724	179.012	3.598	1	724	724	724	179.012	3.598	1	724	724	724	188.116	3.205	1	724	724	724	187.408	3.194	1	724	724	724	238.789	5.845	1	724	724	724	166.957	3.274	724	724	724	724	92.649	2.1	1	724	724	724	115.919	2.28	1	724	724	724	134.026	2.224	1	724	724	724	135.065	2.271	1	724	724	724	135.308	2.228	1	724	724	724	131.909	2.091	1	724	724	724	168.546	3.287	1	724	724	724	724	10.742	1	724	724	724	724	10.637	1	724	724	724	111.342	2.162	1	724	724	1
ftwc.8-5.TimeMax	ma	modest	E	maqvbs	724	8.102	1.637	2.007	724	169.7	724	8.102	1.637	2.007	724	169.7	724	8.156	1.549	1.72	724	95.7	724	8.147	1.553	1.709	724	88.2	724	12.654	2.496	2.78	724	170.4	724	7.995	1.56	724	724	116.0	724	4.378	1	1.132	724	63.8	724	5.052	1	1.166	724	77.6	724	5.571	1	1	724	77.7	724	5.645	1	1	724	77.6	724	5.662	1	1	724	77.3	724	6.369	1.268	1.523	724	79.6	724	7.733	1.748	1.988	724	136.9	724	22.436	3.961	4.255	724	136.1	724	21.044	4.524	4.811	724	140.0	724	4.899	1	1.259	724	74.0	1
ftwc.8-5.TimeMin	ma	modest	E	maqvbs	724	8.187	1.679	1	724	159.1	724	8.187	1.679	1	724	159.1	724	8.144	1.537	1	724	84.8	724	8.134	1.541	1	724	103.7	724	9.325	2.519	1	724	174.8	724	6.981	1.569	1	724	111.4	724	3.392	1	1	724	60.4	724	4.477	1	1	724	74.0	724	5.06	1	1	724	74.2	724	4.968	1	1	724	74.6	724	4.973	1	1	724	73.8	724	5.505	1.014	1	724	74.9	724	7.428	1.525	1	724	129.3	724	22.413	4.3	1	724	128.5	724	22.623	4.416	1	724	128.2	724	4.14	1	1	724	70.7	1
intercept-mdp.30-0.0.time_min	mdp	prism	E	mdpgrid	13.943	13.836	14.766	724	13.8	14.1	13.936	13.729	14.802	724	13.8	14.1	4.804	4.649	5.027	724	8.2	9.0	4.798	4.672	5.043	724	8.2	9.0	18.871	18.585	19.815	724	14.0	15.6	17.448	17.082	18.26	724	11.6	11.7	7.724	7.543	8.027	724	6.4	7.4	10.258	10.06	10.708	724	7.5	7.7	10.259	10.134	10.731	724	7.6	7.7	10.111	9.855	10.58	724	7.5	7.6	10.033	9.782	10.578	724	7.6	7.7	10.975	12.295	11.283	724	9.4	9.1	13.828	13.663	14.818	724	12.9	13.3	16.529	16.281	17.412	724	12.9	13.3	16.648	16.422	17.36	724	12.9	13.4	9.265	9.08	9.698	724	8.5	8.8	4.649
intercept-mdp.40-0.0.time_min	mdp	prism	E	mdpgrid	68.694	67.749	75.452	724	72.4	74.6	68.76	67.151	75.973	724	72.6	73.7	26.215	25.526	29.356	724	42.3	57.1	26.298	25.54	29.318	724	42.1	53.0	91.981	90.442	99.488	724	68.4	69.2	82.036	80.205	89.346	724	60.4	61.0	44.886	43.73	48.442	724	38.8	39.6	52.78	52.143	57.038	724	41.3	41.6	52.966	51.828	56.615	724	41.4	41.9	51.828	51.404	56.031	724	41.3	41.7	52.326	51.783	55.965	724	41.3	41.7	64.682	54.296	59.719	724	47.6	48.9	70.099	68.175	76.225	724	71.8	73.3	79.91	79.109	86.661	724	71.9	73.3	80.554	79.225	87.308	724	71.6	72.9	48.666	47.698	52.768	724	46.0	46.8	25.526
